GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Total,Margin of Error; Total
0500000US12049,12049,"Hardee County, Florida",27326,*****
0500000US12051,12051,"Hendry County, Florida",39064,*****
0500000US12053,12053,"Hernando County, Florida",179144,*****
0500000US12055,12055,"Highlands County, Florida",100177,*****
0500000US12057,12057,"Hillsborough County, Florida",1351087,*****
0500000US12059,12059,"Holmes County, Florida",19483,*****
0500000US12061,12061,"Indian River County, Florida",147981,*****
0500000US12063,12063,"Jackson County, Florida",48571,*****
0500000US12065,12065,"Jefferson County, Florida",14085,*****
0500000US12067,12067,"Lafayette County, Florida",8684,*****
0500000US12069,12069,"Lake County, Florida",326215,*****
0500000US12071,12071,"Lee County, Florida",700165,*****
0500000US12073,12073,"Leon County, Florida",285890,*****
0500000US12075,12075,"Levy County, Florida",39713,*****
0500000US12077,12077,"Liberty County, Florida",8347,*****
0500000US12079,12079,"Madison County, Florida",18518,*****
0500000US12081,12081,"Manatee County, Florida",363542,*****
0500000US12083,12083,"Marion County, Florida",343778,*****
0500000US12085,12085,"Martin County, Florida",155719,*****
0500000US12086,12086,"Miami-Dade County, Florida",2702602,*****
0500000US12087,12087,"Monroe County, Florida",76745,*****
0500000US12089,12089,"Nassau County, Florida",78435,*****
0500000US12091,12091,"Okaloosa County, Florida",197591,*****
0500000US12093,12093,"Okeechobee County, Florida",40228,*****
0500000US12095,12095,"Orange County, Florida",1290216,*****
0500000US12097,12097,"Osceola County, Florida",325168,*****
0500000US12099,12099,"Palm Beach County, Florida",1426772,*****
0500000US12101,12101,"Pasco County, Florida",498136,*****
0500000US12103,12103,"Pinellas County, Florida",949842,*****
0500000US12105,12105,"Polk County, Florida",652256,*****
0500000US12107,12107,"Putnam County, Florida",72435,*****
0500000US12109,12109,"St. Johns County, Florida",226578,*****
0500000US12111,12111,"St. Lucie County, Florida",298763,*****
0500000US12113,12113,"Santa Rosa County, Florida",166778,*****
0500000US12115,12115,"Sarasota County, Florida",404839,*****
0500000US12117,12117,"Seminole County, Florida",449260,*****
0500000US12119,12119,"Sumter County, Florida",116754,*****
0500000US12121,12121,"Suwannee County, Florida",43814,*****
0500000US12123,12123,"Taylor County, Florida",22350,*****
0500000US12125,12125,"Union County, Florida",15300,*****
0500000US12127,12127,"Volusia County, Florida",518660,*****
0500000US12129,12129,"Wakulla County, Florida",31586,*****
0500000US12131,12131,"Walton County, Florida",63457,*****
0500000US12133,12133,"Washington County, Florida",24472,*****
0500000US13001,13001,"Appling County, Georgia",18471,*****
0500000US13003,13003,"Atkinson County, Georgia",8313,*****
0500000US13005,13005,"Bacon County, Georgia",11279,*****
0500000US13007,13007,"Baker County, Georgia",3251,*****
0500000US13009,13009,"Baldwin County, Georgia",45527,*****
0500000US13011,13011,"Banks County, Georgia",18363,*****
0500000US13013,13013,"Barrow County, Georgia",75099,*****
0500000US13015,13015,"Bartow County, Georgia",102623,*****
0500000US13017,13017,"Ben Hill County, Georgia",17272,*****
0500000US13019,13019,"Berrien County, Georgia",19014,*****
0500000US13021,13021,"Bibb County, Georgia",153923,*****
0500000US13023,13023,"Bleckley County, Georgia",12779,*****
0500000US13025,13025,"Brantley County, Georgia",18411,*****
0500000US13027,13027,"Brooks County, Georgia",15629,*****
0500000US13029,13029,"Bryan County, Georgia",34883,*****
0500000US13031,13031,"Bulloch County, Georgia",73742,*****
0500000US13033,13033,"Burke County, Georgia",22645,*****
0500000US13035,13035,"Butts County, Georgia",23556,*****
0500000US13037,13037,"Calhoun County, Georgia",6503,*****
0500000US13039,13039,"Camden County, Georgia",52252,*****
0500000US13043,13043,"Candler County, Georgia",10894,*****
0500000US13045,13045,"Carroll County, Georgia",114898,*****
0500000US13047,13047,"Catoosa County, Georgia",65870,*****
0500000US13049,13049,"Charlton County, Georgia",12963,*****
0500000US13051,13051,"Chatham County, Georgia",285506,*****
0500000US13053,13053,"Chattahoochee County, Georgia",11096,*****
0500000US13055,13055,"Chattooga County, Georgia",24880,*****
0500000US13057,13057,"Cherokee County, Georgia",235896,*****
0500000US13059,13059,"Clarke County, Georgia",123554,*****
0500000US13061,13061,"Clay County, Georgia",3024,*****
0500000US13063,13063,"Clayton County, Georgia",274150,*****
0500000US13065,13065,"Clinch County, Georgia",6788,*****
0500000US13067,13067,"Cobb County, Georgia",739072,*****
0500000US13069,13069,"Coffee County, Georgia",43048,*****
0500000US13071,13071,"Colquitt County, Georgia",45890,*****
0500000US13073,13073,"Columbia County, Georgia",143723,*****
0500000US13075,13075,"Cook County, Georgia",17190,*****
0500000US13077,13077,"Coweta County, Georgia",138015,*****
0500000US13079,13079,"Crawford County, Georgia",12385,*****
0500000US13081,13081,"Crisp County, Georgia",23005,*****
0500000US13083,13083,"Dade County, Georgia",16282,*****
0500000US13085,13085,"Dawson County, Georgia",23397,*****
0500000US13087,13087,"Decatur County, Georgia",27023,*****
0500000US13089,13089,"DeKalb County, Georgia",736066,*****
0500000US13091,13091,"Dodge County, Georgia",21063,*****
0500000US13093,13093,"Dooly County, Georgia",14053,*****
0500000US13095,13095,"Dougherty County, Georgia",91522,*****
0500000US13097,13097,"Douglas County, Georgia",140152,*****
0500000US13099,13099,"Early County, Georgia",10405,*****
0500000US13101,13101,"Echols County, Georgia",4011,*****
0500000US13103,13103,"Effingham County, Georgia",57087,*****
0500000US13105,13105,"Elbert County, Georgia",19288,*****
0500000US13107,13107,"Emanuel County, Georgia",22502,*****
0500000US13109,13109,"Evans County, Georgia",10757,*****
0500000US13111,13111,"Fannin County, Georgia",24480,*****
0500000US13113,13113,"Fayette County, Georgia",110306,*****
0500000US13115,13115,"Floyd County, Georgia",96471,*****
0500000US13117,13117,"Forsyth County, Georgia",211300,*****
0500000US13119,13119,"Franklin County, Georgia",22328,*****
0500000US13121,13121,"Fulton County, Georgia",1010420,*****
0500000US13123,13123,"Gilmer County, Georgia",29614,*****
0500000US13125,13125,"Glascock County, Georgia",3027,*****
0500000US13127,13127,"Glynn County, Georgia",83467,*****
0500000US13129,13129,"Gordon County, Georgia",56424,*****
0500000US13131,13131,"Grady County, Georgia",25048,*****
0500000US13133,13133,"Greene County, Georgia",16732,*****
0500000US13135,13135,"Gwinnett County, Georgia",889954,*****
0500000US13137,13137,"Habersham County, Georgia",43878,*****
0500000US13139,13139,"Hall County, Georgia",192865,*****
0500000US13141,13141,"Hancock County, Georgia",8667,*****
0500000US13143,13143,"Haralson County, Georgia",28722,*****
0500000US13145,13145,"Harris County, Georgia",33198,*****
0500000US13147,13147,"Hart County, Georgia",25535,*****
0500000US13149,13149,"Heard County, Georgia",11607,*****
0500000US13151,13151,"Henry County, Georgia",217506,*****
0500000US13153,13153,"Houston County, Georgia",150341,*****
0500000US13155,13155,"Irwin County, Georgia",9278,*****
0500000US13157,13157,"Jackson County, Georgia",63851,*****
0500000US13159,13159,"Jasper County, Georgia",13732,*****
0500000US13161,13161,"Jeff Davis County, Georgia",14999,*****
0500000US13163,13163,"Jefferson County, Georgia",15954,*****
0500000US13165,13165,"Jenkins County, Georgia",8929,*****
0500000US13167,13167,"Johnson County, Georgia",9800,*****
0500000US13169,13169,"Jones County, Georgia",28540,*****
0500000US13171,13171,"Lamar County, Georgia",18282,*****
0500000US13173,13173,"Lanier County, Georgia",10388,*****
0500000US13175,13175,"Laurens County, Georgia",47451,*****
0500000US13177,13177,"Lee County, Georgia",29216,*****
0500000US13179,13179,"Liberty County, Georgia",62120,*****
0500000US13181,13181,"Lincoln County, Georgia",7768,*****
0500000US13183,13183,"Long County, Georgia",17857,*****
0500000US13185,13185,"Lowndes County, Georgia",113941,*****
0500000US13187,13187,"Lumpkin County, Georgia",31567,*****
0500000US13189,13189,"McDuffie County, Georgia",21488,*****
0500000US13191,13191,"McIntosh County, Georgia",14061,*****
0500000US13193,13193,"Macon County, Georgia",13675,*****
0500000US13195,13195,"Madison County, Georgia",28600,*****
0500000US13197,13197,"Marion County, Georgia",8558,*****
0500000US13199,13199,"Meriwether County, Georgia",21152,*****
0500000US13201,13201,"Miller County, Georgia",5884,*****
0500000US13205,13205,"Mitchell County, Georgia",22574,*****
